status  nickname        task
---------------------------------------
0       Vladislav       create sturcture 4 project
0       Vladislav       create class attackObject ann add to Makefile
0       Vladislav       check constructors
0       Vladislav       create class Game
0       Vladislav       Player.h
0       Mike            create structure for GUI part
0       Mike            graphic of map
0	Mike		screenshot on the background
0	Mike		sounds of the game
0	Mike		search pictures for maps and warriors
